NUMBER	DATE	GRID	SPECIES	X	Y	WEIGHT	TOE	SX	SEXCON	FLAGS
1	15/03/1994	MOSA	MN	15	I	34	1//110	F	CSN	      
2	15/03/1994	MOSA	MN	18	I	33	1//120	M	SV	      
3	15/03/1994	MOSA	MN	20	J	22	1//130	F	CSN	      
4	15/03/1994	MOSA	MN	11	B	36	1//15	M	SV	      
5	15/03/1994	MOSA	MN	15	B	38	1//16	M	SV	      
6	15/03/1994	MOSA	TA	18	B	69	1//17	F	CSN	      
7	15/03/1994	MOSA	MN	20	H	27	1//18	F	CSN	     CON  
8	16/03/1994	MOSA	MN	11	F	40	1//14	M	SV	      
9	16/03/1994	MOSA	MN	18	J	37	1//150	M	SV	      
10	16/03/1994	MOSA	MN	20	J	40	1//160	M	SV	      
11	16/03/1994	MOSA	MN	15	F	29	1//18	F	CSN	     CON  
12	17/03/1994	MOSA	MN	11	F	24	1//110	F	CSN	      
13	17/03/1994	MOSA	MN	11	B	32	1//15	M	SV	      
14	17/03/1994	MOSA	MN	20	J	34	1//150	M	SV	      
15	17/03/1994	MOSA	MN	20	H	32	1//160	M	SV	      
16	17/03/1994	MOSA	MN	15	F	29	1//18	F	CSN	     CON  
17	22/03/1994	MOSA	MN	16	E	40	1//1100	M	SV	      
18	22/03/1994	MOSA	MN	19	G	41	1//18	F	CSN	     CON  
19	22/03/1994	MOSA	MN	14	A	76	1//210	M	SV	      
20	22/03/1994	MOSA	TA	15	A	81	1//220	F	CSN	      
21	22/03/1994	MOSA	TA	20	J	83	1//230	M	SV	      
22	22/03/1994	MOSA	TA	21	H	79	1//240	F	CSN	      
23	22/03/1994	MOSA	MN	6	I	27	1//25	F	CSN	      
24	22/03/1994	MOSA	TA	22	G	92	1//250	M	SV	      
25	22/03/1994	MOSA	TA	7	A	62	1//26	F	PSN	      
26	22/03/1994	MOSA	TA	22	J	78	1//260	F	CSN	      
27	22/03/1994	MOSA	TA	8	D	93	1//27	M	SV	      
28	22/03/1994	MOSA	MN	25	I	45	1//270	F	CSN	      
29	22/03/1994	MOSA	MN	13	J	47	1//28	M	SV	      
30	23/03/1994	MOSA	MN	8	D	31	1//110	F	PSN	      
31	23/03/1994	MOSA	MN	9	H	42	1//140	M	SV	      
32	23/03/1994	MOSA	MN	9	D	38	1//15	M	SV	      
33	23/03/1994	MOSA	MN	11	I	34	1//2100	M	SV	      
34	23/03/1994	MOSA	MN	24	F	34	1//270	F	PSN	      
35	23/03/1994	MOSA	MN	12	I	34	1//28	M	SV	      
36	23/03/1994	MOSA	TA	6	C	75	1//280	M	SV	      
37	23/03/1994	MOSA	TA	10	B	66	1//290	M	SV	      
38	23/03/1994	MOSA	MN	16	J	33	1//35	F	CSN	      
39	23/03/1994	MOSA	MN	20	H	32	1//36	M	SV	      
40	23/03/1994	MOSA	MN	22	I	43	1//37	M	SV	      
41	23/03/1994	MOSA	MN	27	B	49	1//38	M	SV	      
42	23/03/1994	MOSA	MN	21	J	55	1//650	M	SV	      
43	24/03/1994	MOSA	MN	20	J	29	1//130	F	PSN	      
44	24/03/1994	MOSA	MN	11	D	38	1//140	M	SV	      
45	24/03/1994	MOSA	MN	20	H	30	1//18	F	CSN	     CON  
46	24/03/1994	MOSA	TA	21	I	62	1//240	F	CSN	      
47	24/03/1994	MOSA	MN	25	J	34	1//270	F	PSN	      
48	24/03/1994	MOSA	MN	6	A	41	1//310	M	SV	      
49	24/03/1994	MOSA	MN	16	J	46	1//320	M	SV	      
50	24/03/1994	MOSA	TA	17	I	75	1//330	F	CSN	      
51	24/03/1994	MOSA	MN	18	J	53	1//340	M	SV	      
52	24/03/1994	MOSA	MN	21	J	54	1//650	M	SV	      
53	29/03/1994	MOSA	MN	14	J	39	1//110	F	PSN	      
54	29/03/1994	MOSA	MN	15	J	49	1//320	M	SV	      
55	06/04/1994	MOSA	MN	11	F	43	1//110	F	PSN	      
56	06/04/1994	MOSA	MN	16	I	39	1//130	F	PSN	      
57	06/04/1994	MOSA	MN	19	G	28	1//18	F	PSN	     CON  
58	06/04/1994	MOSA	MN	11	F	41	1//2100	M	SV	      
59	06/04/1994	MOSA	TA	17	A	80	1//3100	M	SV	      
60	06/04/1994	MOSA	MN	17	J	44	1//35	F	PSN	      
61	06/04/1994	MOSA	LR	6	D	48	1//350	M	SV	      
62	06/04/1994	MOSA	TA	9	A	86	1//360	M	SV	      
63	06/04/1994	MOSA	TA	10	G	61	1//370	F	CSN	      
64	06/04/1994	MOSA	TA	10	B	71	1//380	M	SV	      
65	06/04/1994	MOSA	MN	12	J	36	1//390	M	SV	      
66	06/04/1994	MOSA	MN	21	J	54	1//45	F	PSY	      
67	06/04/1994	MOSA	TA	27	C	77	1//46	F	PSN	      
68	06/04/1994	MOSA	MN	27	B	57	1//47	M	SV	      
69	06/04/1994	MOSA	TA	28	C	69	1//48	F	PSN	      
70	07/04/1994	MOSA	MN	6	E	55	1//1100	M	SV	      
71	07/04/1994	MOSA	MN	20	J	43	1//130	F	PSY	      
72	07/04/1994	MOSA	MN	11	B	55	1//15	M	SV	      
73	07/04/1994	MOSA	MN	20	I	27	1//18	F	CSN	     CON  
74	07/04/1994	MOSA	LR	11	H	53	1//410	F	PSN	      
75	07/04/1994	MOSA	LR	11	I	56	1//420	M	SV	      
76	07/04/1994	MOSA	MN	17	H	42	1//430	M	SV	      
77	07/04/1994	MOSA	MN	12	E	63	1//440	M	SV	      
78	07/04/1994	MOSA	MN	25	J	39	1//450	F	PSN	      
79	07/04/1994	MOSA	MN	27	D	63	1//460	M	SV	      
80	07/04/1994	MOSA	MN	27	A	57	1//47	M	SV	      
81	07/04/1994	MOSA	TA	28	C	63	1//470	F	PSN	      
82	07/04/1994	MOSA	TA	28	B	81	1//480	M	SV	      
83	07/04/1994	MOSA	MN	30	D	65	1//490	M	SV	      
84	12/04/1994	MOSA	MN	11	H	52	1//110	F	PSN	      
85	12/04/1994	MOSA	MN	19	G	30	1//18	F	PSN	     CON  
86	12/04/1994	MOSA	MN	12	J	43	1//2100	M	SV	      
87	12/04/1994	MOSA	LR	11	F	51	1//350	M	SV	      
88	12/04/1994	MOSA	TA	10	B	78	1//360	M	SV	      
89	12/04/1994	MOSA	TA	9	E	104	1//4100	F	PSY	     CON  
90	12/04/1994	MOSA	TA	11	I	88	1//510	F	PSN	      
91	12/04/1994	MOSA	MN	11	J	54	1//520	M	SV	      
92	12/04/1994	MOSA	MN	24	H	37	1//530	F	PSN	      
93	12/04/1994	MOSA	MN	25	I	41	1//540	F	PSN	      
94	12/04/1994	MOSA	TA	24	D	68	1//550	F	PSN	      
95	12/04/1994	MOSA	TA	28	C	95	1//560	M	SV	      
96	04/05/1994	MOSA	MN	8	E	59	1//1100	M	SV	      
97	04/05/1994	MOSA	LR	20	I	60	1//190	M	SV	      
98	04/05/1994	MOSA	MN	10	G	56	1//2100	M	SV	      
99	04/05/1994	MOSA	LR	10	E	55	1//350	M	SV	      
100	04/05/1994	MOSA	TA	10	A	87	1//360	M	SV	      
101	04/05/1994	MOSA	MN	27	J	63	1//37	M	SV	      
102	04/05/1994	MOSA	LR	9	H	49	1//410	F	PSN	      
103	04/05/1994	MOSA	MN	28	C	65	1//460	M	SV	      
104	04/05/1994	MOSA	TA	23	D	70	1//510	F	PSN	      
105	04/05/1994	MOSA	MN	19	J	56	1//5100	M	SV	      
106	04/05/1994	MOSA	MN	12	B	62	1//570	F	PSN	      
107	04/05/1994	MOSA	MN	8	B	61	1//570 B	M	SV	      
108	04/05/1994	MOSA	MN	13	I	43	1//580	F	PSN	      
109	04/05/1994	MOSA	MN	15	I	44	1//590	F	PSN	      
110	04/05/1994	MOSA	MN	22	E	66	1//610	M	SV	      
111	04/05/1994	MOSA	MN	26	J	68	1//6100	F	PSY	      
112	04/05/1994	MOSA	TA	24	B	77	1//620	M	SV	      
113	04/05/1994	MOSA	MN	24	F	64	1//630	F	PSN	      
114	04/05/1994	MOSA	MN	24	H	72	1//640	F	PSY	     CON  
115	04/05/1994	MOSA	MN	26	A	67	1//660	F	PSN	      
116	04/05/1994	MOSA	MN	25	E	78	1//670	M	SV	      
117	04/05/1994	MOSA	MN	25	G	75	1//680	M	SV	      
118	04/05/1994	MOSA	TA	26	G	82	1//690	M	SV	      
119	04/05/1994	MOSA	MN	27	H	75	1//710	F	PSY	      
120	04/05/1994	MOSA	MN	28	A	58	1//720	F	PLY	      
121	04/05/1994	MOSA	MN	29	D	70	1//730	M	SV	      
122	04/05/1994	MOSA	TA	29	G	88	1//740	F	PSN	      
123	05/05/1994	MOSA	MN	11	C	70	1//15	M	SV	      
124	05/05/1994	MOSA	MN	16	J	67	1//35	F	PSN	      
125	05/05/1994	MOSA	LR	11	D	53	1//350	M	SV	      
126	05/05/1994	MOSA	MN	27	I	58	1//37	M	SV	      
127	05/05/1994	MOSA	MN	28	A	70	1//460	M	SV	      
128	05/05/1994	MOSA	MN	21	H	72	1//530	F	PSY	      
129	05/05/1994	MOSA	TA	24	B	65	1//550	F	PSN	      
130	05/05/1994	MOSA	MN	11	A	57	1//570	F	PSN	      
131	05/05/1994	MOSA	MN	10	B	53	1//570 B	M	SV	      
132	05/05/1994	MOSA	MN	13	J	38	1//580	F	PSN	      
133	05/05/1994	MOSA	MN	23	F	60	1//630	F	PSN	      
134	05/05/1994	MOSA	MN	25	G	69	1//640	F	PSY	     CON  
135	05/05/1994	MOSA	MN	23	E	67	1//660	F	PSN	      
136	05/05/1994	MOSA	MN	24	E	75	1//670	M	SV	      
137	05/05/1994	MOSA	MN	27	H	66	1//680	M	SV	      
138	05/05/1994	MOSA	MN	25	H	77	1//710	F	PSY	      
139	05/05/1994	MOSA	TA	28	C	66	1//7100	F	PSN	      
140	05/05/1994	MOSA	MN	29	A	54	1//720	F	PSY	      
141	05/05/1994	MOSA	MN	9	D	62	1//750	M	SV	      
142	05/05/1994	MOSA	LR	12	C	61	1//760	M	SV	      
143	05/05/1994	MOSA	MN	21	J	51	1//770	F	PSN	      
144	05/05/1994	MOSA	TA	26	I	101	1//780	M	SV	      
145	05/05/1994	MOSA	TA	28	B	84	1//790	F	PSY	      
146	05/05/1994	MOSA	TA	29	C	74	1//810	F	PSN	      
147	05/05/1994	MOSA	LR	29	B	58	1//820	M	SV	      
148	06/05/1994	MOSA	MN	10	H	54	1//2100	M	SV	      
149	06/05/1994	MOSA	LR	11	A	48	1//350	M	SV	      
150	06/05/1994	MOSA	MN	28	A	63	1//460	M	SV	      
151	06/05/1994	MOSA	MN	25	B	77	1//47	M	SV	      
152	06/05/1994	MOSA	MN	16	J	59	1//5100	M	SV	      
153	06/05/1994	MOSA	TA	22	A	62	1//550	F	PSN	      
154	06/05/1994	MOSA	MN	15	B	50	1//570	F	PSN	      
155	06/05/1994	MOSA	MN	13	I	37	1//580	F	PSN	      
156	06/05/1994	MOSA	MN	20	I	43	1//590	F	PSN	      
157	06/05/1994	MOSA	MN	20	B	61	1//610	M	SV	      
158	06/05/1994	MOSA	MN	27	J	58	1//6100	F	PSN	      
159	06/05/1994	MOSA	MN	27	G	58	1//630	F	PSN	      
160	06/05/1994	MOSA	MN	8	B	52	1//750	M	SV	      
161	06/05/1994	MOSA	TA	29	B	74	1//790	F	PSY	      
162	06/05/1994	MOSA	TA	29	D	64	1//810	F	PSN	      
163	06/05/1994	MOSA	MN	10	I	65	1//830	F	PSN	      
164	06/05/1994	MOSA	LR	9	B	66	1//830 B	F	PSN	      
165	06/05/1994	MOSA	MN	20	A	62	1//840	F	PSN	      
166	06/05/1994	MOSA	LR	9	B	66	1//850	F	PSN	      
167	06/05/1994	MOSA	TA	28	B	26	1//860	M	SV	      
168	06/05/1994	MOSA	MN	28	D	52	1//870	F	PLY	      
169	06/05/1994	MOSA	LR	28	J	40	1//880	F	PSN	      
170	09/06/1994	MOSA	MN	25	I	16	1//1060	F	CSN	      
171	09/06/1994	MOSA	MN	26	H	14	1//1070	M	SN	      
172	09/06/1994	MOSA	LR	26	G	5	1//1080	F	CSN	      
173	09/06/1994	MOSA	MN	27	G	36	1//1090	F	PSN	      
174	09/06/1994	MOSA	MN	30	C	57	1//460	M	SV	      
175	09/06/1994	MOSA	MN	27	H	59	1//630	F	PSY	      
176	09/06/1994	MOSA	MN	24	H	94	1//640	F	PSY	     CON  
177	09/06/1994	MOSA	MN	18	J	46	1//8100	F	PSN	      
178	09/06/1994	MOSA	MN	24	E	10	1//890	M	AN	      
179	10/06/1994	MOSA	MN	20	H	12	1//10100	F	CSN	      
180	10/06/1994	MOSA	MN	20	I	67	1//15	M	SV	      
181	10/06/1994	MOSA	MN	26	D	39	1//2060	M	SV	      
182	10/06/1994	MOSA	MN	27	H	39	1//2070	F	CSN	      
183	10/06/1994	MOSA	MN	29	C	68	1//2080	M	SV	      
184	10/06/1994	MOSA	MN	28	A	65	1//460	M	SV	      
185	10/06/1994	MOSA	MN	27	I	63	1//710	F	PSY	      
186	10/06/1994	MOSA	MN	20	I	46	1//770	F	PLN	      
187	11/06/1994	MOSA	MN	11	H	64	1//15	M	SV	      
188	11/06/1994	MOSA	MN	20	H	50	1//20100	F	PSN	      
189	11/06/1994	MOSA	MN	19	J	43	1//2090	F	CSN	      
190	11/06/1994	MOSA	MN	27	I	71	1//30100	M	SV	      
191	11/06/1994	MOSA	MN	21	J	70	1//3060	F	PSY	      
192	11/06/1994	MOSA	MN	23	J	19	1//3070	F	CSN	      
193	11/06/1994	MOSA	MN	24	I	20	1//3080	F	CSN	      
194	11/06/1994	MOSA	MN	26	B	52	1//3090	F	PSN	      
195	11/06/1994	MOSA	MN	28	B	23	1//4060	M	SV	      
196	11/06/1994	MOSA	MN	29	D	20	1//4070	F	CSN	      
197	11/06/1994	MOSA	MN	30	C	62	1//460	M	SV	      
198	11/06/1994	MOSA	TA	24	A	81	1//470	F	PSN	      
199	11/06/1994	MOSA	MN	26	I	64	1//710	F	PSY	      
200	28/06/1994	MOSA	MN	22	E	24	1//10100	F	CSN	      
201	28/06/1994	MOSA	MN	30	D	67	1//2080	M	SV	      
202	28/06/1994	MOSA	MN	24	F	70	1//30100	M	SV	      
203	28/06/1994	MOSA	MN	18	I	46	1//3060	F	PLY	      
204	28/06/1994	MOSA	MN	24	I	32	1//3070	F	CSN	      
205	28/06/1994	MOSA	TA	24	A	92	1//40100	M	SV	      
206	28/06/1994	MOSA	MN	29	B	44	1//4070	F	CSN	      
207	28/06/1994	MOSA	TA	13	A	40	1//4080	M	SN	      
208	28/06/1994	MOSA	TA	16	A	45	1//4090	F	CSN	      
209	28/06/1994	MOSA	MN	28	B	27	1//50100	F	CSN	      
210	28/06/1994	MOSA	MN	26	I	31	1//5060	M	SN	      
211	28/06/1994	MOSA	MN	27	I	59	1//5070	M	SV	      
212	28/06/1994	MOSA	MN	27	G	32	1//5080	F	CSN	      
213	28/06/1994	MOSA	MN	27	F	55	1//5090	M	SV	      
214	28/06/1994	MOSA	MN	24	G	53	1//630	F	PSN	      
215	28/06/1994	MOSA	MN	24	J	80	1//640	F	PSY	     CON  
216	28/06/1994	MOSA	MN	27	H	59	1//710	F	PSY	      
217	28/06/1994	MOSA	MN	10	I	65	1//830	F	PSN	      
218	28/06/1994	MOSA	LR	4	E	57	1//830 B	F	PSN	      
219	29/06/1994	MOSA	MN	26	B	67	1//1510	M	SV	      
220	29/06/1994	MOSA	MN	26	D	80	1//1520	F	PSN	      
221	29/06/1994	MOSA	MN	27	D	34	1//1530	M	SV	      
222	29/06/1994	MOSA	MN	29	D	27	1//1540	M	SV	      
223	29/06/1994	MOSA	MN	30	D	40	1//1550	F	PSN	      
224	29/06/1994	MOSA	MN	20	H	42	1//2090	F	PSN	      
225	29/06/1994	MOSA	MN	24	I	72	1//640	F	PSY	     CON  
226	30/06/1994	MOSA	MN	22	E	24	1//10100	F	CSN	      
227	30/06/1994	MOSA	MN	3	A	52	1//1560	M	SV	      
228	30/06/1994	MOSA	MN	27	B	28	1//1570	M	SN	      
229	30/06/1994	MOSA	MN	27	H	55	1//1580	M	SV	      
230	30/06/1994	MOSA	MN	26	A	58	1//3090	F	PSN	      
231	30/06/1994	MOSA	MN	16	J	56	1//35	F	PSN	      
232	30/06/1994	MOSA	MN	30	D	46	1//4070	F	PSN	      
233	30/06/1994	MOSA	MN	27	G	55	1//630	F	PSY	      
234	30/06/1994	MOSA	MN	25	I	73	1//640	F	PSY	     CON  
235	30/06/1994	MOSA	MN	27	J	56	1//710	F	PSY	      
236	19/07/1994	MOSA	LR	8	I	42	1//15100	F	PSN	      
237	19/07/1994	MOSA	MN	1	A	83	1//1590	F	PSY	      
238	19/07/1994	MOSA	MN	17	J	27	1//1610	F	PSN	     CON  
239	19/07/1994	MOSA	MN	19	J	21	1//1620	M	SN	      
240	19/07/1994	MOSA	MN	24	E	59	1//1630	F	PSY	      
241	19/07/1994	MOSA	MN	27	I	33	1//1640	M	SN	      
242	19/07/1994	MOSA	MN	29	D	41	1//1650	M	SV	      
243	19/07/1994	MOSA	MN	23	J	48	1//3070	F	PSN	      
244	19/07/1994	MOSA	MN	28	C	53	1//4070	F	PSN	      
245	19/07/1994	MOSA	MN	25	H	41	1//5080	F	PSN	      
246	19/07/1994	MOSA	MN	24	H	69	1//640	F	PSY	     CON  
247	19/07/1994	MOSA	MN	26	J	50	1//710	F	PSN	      
248	19/07/1994	MOSA	MN	7	F	43	1//8100	F	PSN	      
249	20/07/1994	MOSA	MN	24	J	43	1//1060	F	PSN	      
250	20/07/1994	MOSA	LR	7	I	44	1//15100	F	PSN	      
251	20/07/1994	MOSA	MN	29	C	48	1//1570	M	SV	      
252	20/07/1994	MOSA	MN	1	B	76	1//1590	F	PSY	      
253	20/07/1994	MOSA	MN	25	D	52	1//1630	F	PSY	      
254	20/07/1994	MOSA	MN	3	B	75	1//1660	M	SV	      
255	20/07/1994	MOSA	MN	4	D	65	1//1670	M	SV	      
256	20/07/1994	MOSA	MN	18	J	22	1//1680	M	SN	     CON  
257	20/07/1994	MOSA	MN	23	I	35	1//2080	M	SV	      
258	20/07/1994	MOSA	MN	16	J	54	1//35	F	PSY	      
259	20/07/1994	MOSA	MN	28	B	63	1//4060	M	SV	      
260	20/07/1994	MOSA	MN	30	D	51	1//4070	F	PSN	      
261	20/07/1994	MOSA	MN	27	J	72	1//5070	M	SV	      
262	20/07/1994	MOSA	MN	26	I	48	1//710	F	PSY	      
263	21/07/1994	MOSA	MN	27	I	60	1//1580	M	SV	      
264	21/07/1994	MOSA	TA	13	B	51	1//16100	M	SV	SP    SX  CON  
265	21/07/1994	MOSA	MN	30	F	40	1//16100B	F	PSN	NA
266	21/07/1994	MOSA	MN	24	F	45	1//1630	F	PSY	      
267	21/07/1994	MOSA	MN	1	A	70	1//1660	M	SV	      
268	21/07/1994	MOSA	MN	2	E	23	1//1690	F	CSN	      
269	21/07/1994	MOSA	MN	23	J	46	1//1710	F	PSN	     CON  
270	21/07/1994	MOSA	MN	30	C	59	1//1720	F	PSY	      
271	21/07/1994	MOSA	MN	26	I	46	1//1720	F	PSN	      
272	21/07/1994	MOSA	MN	20	J	34	1//2090	F	PSN	      
273	21/07/1994	MOSA	MN	25	I	69	1//640	F	PSY	     CON  
274	21/07/1994	MOSA	MN	26	G	54	1//710	F	PSN	      
275	26/07/1994	MOSA	MN	28	C	38	1//10100	F	CSN	      
276	26/07/1994	MOSA	MN	25	F	43	1//1060	F	PSN	      
277	26/07/1994	MOSA	LR	7	J	50	1//15100	F	PSN	      
278	26/07/1994	MOSA	LR	7	J	50	1//15100	F	PSY	      
279	26/07/1994	MOSA	MN	28	B	49	1//1550	F	PSN	      
280	26/07/1994	MOSA	MN	1	A	50	1//1590	F	PSY	      
281	26/07/1994	MOSA	MN	18	J	33	1//1610	F	PSN	     CON  
282	26/07/1994	MOSA	MN	19	J	22	1//1620	M	SN	      
283	26/07/1994	MOSA	MN	24	E	54	1//1630	F	PSY	      
284	26/07/1994	MOSA	TA	9	A	60	1//1730	F	PSN	      
285	26/07/1994	MOSA	MN	9	B	22	1//1740	F	PSN	     CON  
286	26/07/1994	MOSA	MN	9	D	19	1//1750	M	SN	      
287	26/07/1994	MOSA	TA	25	J	66	1//1760	M	SV	      
288	26/07/1994	MOSA	MN	29	C	46	1//50100	F	CSN	      
289	26/07/1994	MOSA	MN	25	H	51	1//710	F	PSN	      
290	27/07/1994	MOSA	MN	24	J	44	1//1060	F	PSN	      
291	27/07/1994	MOSA	MN	1	A	45	1//1550	F	PSN	      
292	27/07/1994	MOSA	MN	25	D	42	1//1630	F	PSY	      
293	27/07/1994	MOSA	MN	18	J	49	1//17100	F	PSY	      
294	27/07/1994	MOSA	MN	5	D	46	1//1770	M	SV	      
295	27/07/1994	MOSA	MN	11	D	22	1//1780	M	SN	      
296	27/07/1994	MOSA	MN	21	I	19	1//1790	M	AN	      
297	27/07/1994	MOSA	MN	25	I	48	1//1810	F	PSN	      
298	27/07/1994	MOSA	MN	30	D	60	1//1820	F	PSN	      
299	27/07/1994	MOSA	MN	20	G	37	1//2090	F	PSN	      
300	27/07/1994	MOSA	MN	27	J	71	1//5070	M	SV	      
301	27/07/1994	MOSA	MN	23	H	61	1//640	F	PSY	     CON  
302	28/07/1994	MOSA	MN	30	B	44	1//11060	F	PSN	      
303	28/07/1994	MOSA	MN	1	A	50	1//1550	F	PSN	      
304	28/07/1994	MOSA	MN	18	J	36	1//1610	F	PSN	     CON  
305	28/07/1994	MOSA	MN	29	B	42	1//18100	F	CSN	      
306	28/07/1994	MOSA	MN	4	D	24	1//1830	F	PSN	      
307	28/07/1994	MOSA	LR	9	I	47	1//1840	M	SV	      
308	28/07/1994	MOSA	MN	7	G	21	1//1850	M	SN	      
309	28/07/1994	MOSA	MN	19	H	22	1//1860	M	SN	      
310	28/07/1994	MOSA	MN	20	I	25	1//1870	M	SN	      
311	28/07/1994	MOSA	MN	24	J	26	1//1880	F	PSN	      
312	28/07/1994	MOSA	MN	27	F	49	1//1890	M	SV	      
313	28/07/1994	MOSA	MN	29	D	60	1//4070	F	PSN	      
314	06/09/1994	MOSA	MN	27	B	35	1//10100	F	CSN	      
315	06/09/1994	MOSA	MN	25	I	40	1//1060	F	PSN	      
316	06/09/1994	MOSA	MN	6	I	23	1//110100	M	SN	     CON  
317	06/09/1994	MOSA	MN	1	A	43	1//11070	F	PSN	     CON  
318	06/09/1994	MOSA	MN	2	F	25	1//11080	F	CSN	      
319	06/09/1994	MOSA	TA	2	D	42	1//11090	F	CSN	      
320	06/09/1994	MOSA	MN	10	E	31	1//120100	M	SN	      
321	06/09/1994	MOSA	MN	7	D	37	1//12060	F	CSN	      
322	06/09/1994	MOSA	MN	9	D	13	1//12070	F	CSN	      
323	06/09/1994	MOSA	LR	9	I	38	1//12080	F	CSN	      
324	06/09/1994	MOSA	MN	10	H	16	1//12090	M	SN	      
325	06/09/1994	MOSA	MN	15	A	40	1//130100	F	CSN	     CON  
326	06/09/1994	MOSA	MN	10	I	12	1//13060	F	CSN	      
327	06/09/1994	MOSA	LR	11	A	50	1//13070	F	PSN	     CON  
328	06/09/1994	MOSA	MN	13	A	35	1//13080	M	SV	      
329	06/09/1994	MOSA	LR	15	I	41	1//13090	F	CSN	      
330	06/09/1994	MOSA	MN	22	F	30	1//140100	M	SV	     CON  
331	06/09/1994	MOSA	MN	16	I	34	1//14060	M	SV	      
332	06/09/1994	MOSA	MN	18	I	37	1//14070	M	SV	      
333	06/09/1994	MOSA	MN	21	F	33	1//14080	M	SV	     CON  
334	06/09/1994	MOSA	MN	22	J	34	1//14090	F	CSN	      
335	06/09/1994	MOSA	MN	25	G	23	1//150100	M	SN	     CON  
336	06/09/1994	MOSA	MN	23	I	23	1//15060	M	SN	     CON  
337	06/09/1994	MOSA	MN	24	J	24	1//15070	M	SN	     CON  
338	06/09/1994	MOSA	MN	24	J	24	1//15080	M	SN	      
339	06/09/1994	MOSA	MN	24	I	31	1//15090	M	SN	      
340	06/09/1994	MOSA	MN	18	J	34	1//1610	F	CSN	     CON  
341	06/09/1994	MOSA	MN	17	H	33	1//1680	M	SN	     CON  
342	06/09/1994	MOSA	MN	17	J	35	1//17100	F	PSY	      
343	06/09/1994	MOSA	MN	26	I	50	1//1720	F	PSN	      
344	06/09/1994	MOSA	MN	9	C	29	1//1750	M	SN	      
345	06/09/1994	MOSA	MN	11	D	51	1//1780	M	SV	      
346	06/09/1994	MOSA	MN	22	I	31	1//1790 B	F	CSN	      
347	06/09/1994	MOSA	MN	28	B	39	1//18100	F	CSN	      
348	06/09/1994	MOSA	MN	25	J	20	1//2510	F	CSN	      
349	06/09/1994	MOSA	TA	27	J	63	1//25100	F	CSN	      
350	06/09/1994	MOSA	LR	25	B	42	1//2520	M	SN	     CON  
351	06/09/1994	MOSA	MN	26	D	25	1//2530	F	PSN	      
352	06/09/1994	MOSA	MN	26	G	20	1//2540	M	SN	      
353	06/09/1994	MOSA	MN	26	H	21	1//2550	F	CSN	      
354	06/09/1994	MOSA	MN	26	I	44	1//2560	M	SV	      
355	06/09/1994	MOSA	MN	27	G	19	1//2570	F	CSN	      
356	06/09/1994	MOSA	MN	27	H	32	1//2580	M	SV	      
357	06/09/1994	MOSA	MN	27	I	23	1//2590	F	CSN	      
358	06/09/1994	MOSA	MN	29	I	20	1//2610	M	SN	      
359	06/09/1994	MOSA	MN	30	H	57	1//2620	M	SV	      
360	06/09/1994	MOSA	MN	30	G	22	1//2630	M	SN	     CON  
361	06/09/1994	MOSA	TA	15	C	70	1//4090	F	CSN	      
362	06/09/1994	MOSA	MN	23	H	55	1//640	F	PSY	     CON  
363	06/09/1994	MOSA	MN	7	I	50	1//8100	F	PSY	      
364	07/09/1994	MOSA	MN	25	J	41	1//1060	F	PSN	      
365	07/09/1994	MOSA	MN	11	F	28	1//120100	M	SN	      
366	07/09/1994	MOSA	LR	8	H	38	1//12080	F	CSN	      
367	07/09/1994	MOSA	LR	11	D	50	1//13070	F	CSN	     CON  
368	07/09/1994	MOSA	MN	19	J	33	1//14060	M	SV	      
369	07/09/1994	MOSA	MN	19	H	37	1//1620	M	SN	      
370	07/09/1994	MOSA	MN	30	E	52	1//1720	F	PSN	      
371	07/09/1994	MOSA	MN	10	E	35	1//1740	F	CSN	     CON  
372	07/09/1994	MOSA	MN	6	E	26	1//1750	M	SN	      
373	07/09/1994	MOSA	MN	29	C	32	1//18100	F	CSN	      
374	07/09/1994	MOSA	MN	3	B	34	1//1830	F	PSN	      
375	07/09/1994	MOSA	LR	11	J	47	1//1840	M	SV	      
376	07/09/1994	MOSA	MN	22	J	44	1//2090	F	PSN	      
377	07/09/1994	MOSA	MN	27	G	20	1//2550	F	CSN	      
378	07/09/1994	MOSA	MN	16	I	26	1//26100	F	CSN	      
379	07/09/1994	MOSA	LR	1	E	40	1//2640	M	SN	      
380	07/09/1994	MOSA	TA	1	F	67	1//2650	F	CSN	      
381	07/09/1994	MOSA	LR	2	C	43	1//2660	F	CSN	      
382	07/09/1994	MOSA	MN	6	J	18	1//2670	F	CSN	      
383	07/09/1994	MOSA	MN	11	A	23	1//2680	F	CSN	      
384	07/09/1994	MOSA	MN	14	J	14	1//2690	F	CSN	      
385	07/09/1994	MOSA	MN	16	I	12	1//2710	F	CSN	      
386	07/09/1994	MOSA	MN	25	F	22	1//27100	F	CSN	      
387	07/09/1994	MOSA	MN	19	I	26	1//2720	F	CSN	      
388	07/09/1994	MOSA	MN	21	J	24	1//2730	F	CSN	      
389	07/09/1994	MOSA	MN	22	A	21	1//2740	F	CSN	      
390	07/09/1994	MOSA	MN	23	G	25	1//2750	M	SN	     CON  
391	07/09/1994	MOSA	MN	24	H	25	1//2760	F	CSN	      
392	07/09/1994	MOSA	MN	24	J	22	1//2770	M	SV	      
393	07/09/1994	MOSA	MN	24	C	20	1//2780	F	CSN	      
